תאריך,מספר בדיקות מצטבר,מספר חולים מאושפזים,מספר חולים מונשמים,מספר חולים מצטבר,מספר חולים קשה,מספר נפטרים מצטבר
26/01/2020 00:00:00,134,0,0,7,0,0
27/01/2020 00:00:00,135,0,0,7,0,0
28/01/2020 00:00:00,135,0,0,7,0,0
29/01/2020 00:00:00,141,0,0,7,0,0
30/01/2020 00:00:00,145,0,0,7,0,0
31/01/2020 00:00:00,145,0,0,7,0,0
01/02/2020 00:00:00,145,0,0,7,0,0
02/02/2020 00:00:00,152,0,0,7,0,0
03/02/2020 00:00:00,159,0,0,7,0,0
04/02/2020 00:00:00,165,0,0,7,0,0
05/02/2020 00:00:00,165,0,0,7,0,0
06/02/2020 00:00:00,165,0,0,7,0,0
07/02/2020 00:00:00,165,0,0,7,0,0
08/02/2020 00:00:00,165,0,0,7,0,0
09/02/2020 00:00:00,205,0,0,7,0,0
10/02/2020 00:00:00,233,0,0,7,0,0
11/02/2020 00:00:00,283,0,0,7,0,0
12/02/2020 00:00:00,318,0,0,7,0,0
13/02/2020 00:00:00,353,0,0,7,0,0
14/02/2020 00:00:00,383,0,0,7,0,0
15/02/2020 00:00:00,386,0,0,7,0,0
16/02/2020 00:00:00,409,0,0,7,0,0
17/02/2020 00:00:00,450,0,0,7,0,0
18/02/2020 00:00:00,496,0,0,7,0,0
19/02/2020 00:00:00,530,0,0,7,0,0
20/02/2020 00:00:00,559,0,0,7,0,0
21/02/2020 00:00:00,587,2,0,8,0,0
22/02/2020 00:00:00,600,2,0,8,0,0
23/02/2020 00:00:00,656,2,0,8,0,0
24/02/2020 00:00:00,731,2,0,9,0,0
25/02/2020 00:00:00,839,2,0,9,0,0
26/02/2020 00:00:00,947,2,0,9,0,0
27/02/2020 00:00:00,"1,118",3,0,10,0,0
28/02/2020 00:00:00,"1,236",5,0,13,0,0
29/02/2020 00:00:00,"1,394",5,0,13,0,0
01/03/2020 00:00:00,"1,581",7,0,14,0,0
02/03/2020 00:00:00,"1,752",10,0,19,0,0
03/03/2020 00:00:00,"1,987",10,0,22,0,0
04/03/2020 00:00:00,"2,116",12,0,22,0,0
05/03/2020 00:00:00,"2,289",13,0,24,1,0
06/03/2020 00:00:00,"2,563",16,1,28,2,0
07/03/2020 00:00:00,"2,899",19,2,32,3,0
08/03/2020 00:00:00,"3,320",26,4,41,5,0
09/03/2020 00:00:00,"3,838",40,4,45,5,0
10/03/2020 00:00:00,"4,358",61,5,78,6,0
11/03/2020 00:00:00,"4,759",84,6,97,7,0
12/03/2020 00:00:00,"5,366",107,6,119,7,0
13/03/2020 00:00:00,"6,060",127,6,154,7,0
14/03/2020 00:00:00,"6,674",167,4,183,6,0
15/03/2020 00:00:00,"7,857",206,6,222,9,0
16/03/2020 00:00:00,"9,201",225,7,295,11,0
17/03/2020 00:00:00,"10,847",260,7,389,12,0
18/03/2020 00:00:00,"12,953",313,7,514,16,0
19/03/2020 00:00:00,"15,029",301,12,650,21,0
20/03/2020 00:00:00,"17,346",293,12,818,23,1
21/03/2020 00:00:00,"19,454",284,15,"1,028",27,1
22/03/2020 00:00:00,"22,680",333,22,"1,282",38,1
23/03/2020 00:00:00,"26,204",363,24,"1,634",44,1
