test_date,cough,fever,sore_throat,shortness_of_breath,head_ache
2020-03-11,12,14,13,0,6
2020-03-12,15,12,6,7,3
2020-03-13,15,11,5,3,4
2020-03-14,21,16,6,4,8
2020-03-15,31,22,13,10,9
2020-03-16,36,42,9,9,18
2020-03-17,53,56,13,20,19
2020-03-18,71,78,29,18,41
2020-03-19,81,83,21,38,27
2020-03-20,97,97,22,41,43
2020-03-21,85,100,28,34,45
2020-03-22,157,140,45,41,73
2020-03-23,213,189,59,66,101
2020-03-24,206,206,55,74,92
2020-03-25,270,247,75,66,116
2020-03-26,286,250,89,48,113
2020-03-27,254,246,62,46,104
2020-03-28,191,197,66,42,106
2020-03-29,194,188,60,41,78
2020-03-30,258,267,76,57,115
2020-03-31,343,331,118,78,174
2020-04-01,312,320,96,72,140
2020-04-02,272,251,76,42,129
2020-04-03,221,192,63,31,90
2020-04-04,173,144,58,35,68
2020-04-05,255,209,86,47,107
2020-04-06,168,142,50,26,75
2020-04-07,178,135,54,36,73
2020-04-08,137,113,33,13,46
2020-04-09,140,102,45,19,60
2020-04-10,163,124,47,35,60
2020-04-11,160,116,25,21,33
2020-04-12,113,82,17,25,35
2020-04-13,163,125,39,21,83
2020-04-14,153,113,36,19,58
2020-04-15,111,77,29,17,54
2020-04-16,85,70,29,17,45
2020-04-17,68,49,28,8,35
2020-04-18,95,71,27,12,61
2020-04-19,88,73,31,22,48
2020-04-20,73,61,26,10,42
2020-04-21,78,62,25,17,57
2020-04-22,60,67,24,17,46
2020-04-23,78,68,30,21,43
2020-04-24,42,31,11,5,32
2020-04-25,12,18,5,2,14
2020-04-26,28,16,16,6,18
2020-04-27,30,27,18,7,21
2020-04-28,18,18,5,6,17
2020-04-29,27,16,10,5,20
2020-04-30,20,20,10,5,21
2020-05-01,11,9,9,3,14
2020-05-02,4,5,1,0,4
2020-05-03,14,6,3,0,4
2020-05-04,8,10,2,2,6
2020-05-05,9,11,4,2,5
2020-05-06,12,8,0,1,10
2020-05-07,10,12,1,4,8
2020-05-08,3,3,0,1,2
2020-05-09,0,3,0,0,0
2020-05-10,2,3,4,2,4
2020-05-11,7,5,3,0,3
2020-05-12,0,1,2,0,3
2020-05-13,10,2,3,1,4
2020-05-14,2,2,1,0,5
2020-05-15,3,4,1,1,4
2020-05-16,2,1,1,1,0
2020-05-17,4,3,1,0,2
2020-05-18,5,8,3,1,1
2020-05-19,6,3,0,1,1
2020-05-20,4,4,1,1,1
2020-05-21,7,3,1,1,2
2020-05-22,6,3,2,1,1
2020-05-23,0,2,0,0,0
2020-05-24,0,2,0,0,1
2020-05-25,5,12,1,4,5
2020-05-26,5,7,2,0,8
2020-05-27,5,9,4,1,6
2020-05-28,14,16,10,0,13
2020-05-29,11,10,4,1,8
2020-05-30,9,14,5,1,11
2020-05-31,21,11,10,4,10
2020-06-01,34,30,12,5,20
2020-06-02,16,24,11,2,17
2020-06-03,20,28,10,2,16
2020-06-04,21,23,21,4,25
2020-06-05,16,23,9,7,15
2020-06-06,13,13,6,0,5
2020-06-07,32,36,17,4,17
2020-06-08,21,21,8,7,24
2020-06-09,45,43,22,15,32
2020-06-10,36,43,23,7,35
2020-06-11,39,42,22,7,33
2020-06-12,15,25,10,6,17
2020-06-13,7,12,7,1,8
2020-06-14,41,51,16,6,34
2020-06-15,52,67,25,12,54
2020-06-16,32,47,29,8,47
2020-06-17,52,72,31,5,57
2020-06-18,64,67,31,6,50
2020-06-19,51,49,21,8,35
2020-06-20,13,16,5,3,10
2020-06-21,57,81,27,5,59
2020-06-22,95,89,41,15,73
2020-06-23,89,87,49,17,79
2020-06-24,98,96,46,17,76
2020-06-25,88,106,53,9,89
2020-06-26,81,88,39,15,66
2020-06-27,25,35,17,9,31
2020-06-28,120,152,61,23,110
2020-06-29,160,198,80,26,164
