,date_as_date,second_dose_in_0to19,second_dose_in_20to29,second_dose_in_30to39,second_dose_in_40to49,second_dose_in_50to59,second_dose_in_60to69,second_dose_in_70to79,second_dose_in_80to89,second_dose_in_90plus
0,2020-12-20,0,0,0,0,0,0,0,0,0
1,2020-12-21,0,0,0,0,0,0,0,0,0
2,2020-12-22,0,0,0,0,0,0,0,0,0
3,2020-12-23,0,0,0,0,0,0,0,0,0
4,2020-12-24,0,0,0,0,0,0,0,0,0
5,2020-12-25,0,0,0,0,0,0,0,0,0
6,2020-12-26,0,0,0,0,0,0,0,0,0
7,2020-12-27,0,0,0,0,0,0,0,0,0
8,2020-12-28,0,0,0,0,0,0,0,0,0
9,2020-12-29,0,0,0,0,0,0,0,0,0
10,2020-12-30,0,0,0,0,0,0,0,0,0
11,2020-12-31,0,0,0,0,0,0,0,0,0
12,2021-01-01,0,0,0,0,0,0,0,0,0
13,2021-01-02,0,0,0,0,0,0,0,0,0
14,2021-01-03,0,0,0,0,0,0,0,0,0
15,2021-01-04,0,0,0,0,0,0,0,0,0
16,2021-01-05,0,0,0,0,0,0,0,0,0
17,2021-01-06,0,0,0,0,0,0,0,0,0
18,2021-01-07,0,0,0,0,0,0,0,0,0
19,2021-01-08,0,0,0,0,0,0,0,0,0
20,2021-01-09,0,0,0,0,0,0,0,0,0
21,2021-01-10,15,299,969,1575,1537,1207,339,44,0
22,2021-01-11,51,819,2158,2972,3012,5580,3650,868,129
23,2021-01-12,76,1303,3039,3950,3959,11293,8941,2719,353
24,2021-01-13,137,1900,3616,4824,5052,19137,16240,4974,928
25,2021-01-14,167,1945,3753,5140,5452,23975,20241,6907,1188
26,2021-01-15,118,724,1297,1995,2695,12701,11488,4171,691
27,2021-01-16,65,331,697,1278,1783,9600,8638,3008,578
28,2021-01-17,312,2568,4567,6355,7394,27162,24629,9661,1783
29,2021-01-18,732,4762,8127,11483,12815,36398,30792,12573,2541
30,2021-01-19,1109,6690,9532,13621,15452,39359,32857,15067,3846
31,2021-01-20,1334,7874,10717,14766,18670,40100,32203,14387,3383
32,2021-01-21,1741,9665,13424,18826,25721,41927,32946,15742,4017
33,2021-01-22,723,3062,5498,8631,12963,18521,13712,6329,1505
34,2021-01-23,483,2154,3756,7504,11302,12434,9404,4946,1493
35,2021-01-24,1763,8655,11647,17946,26996,33275,24548,12566,2993
36,2021-01-25,1864,9253,12289,20039,28222,30381,22789,11807,2573
37,2021-01-26,1764,8315,11211,18199,25213,28371,20397,10408,2237
38,2021-01-27,2089,10219,11121,17508,23746,28298,19458,10041,2275
39,2021-01-28,2126,9890,13014,20922,27703,27689,18138,8929,1926
40,2021-01-29,1582,4934,7771,14171,14237,11240,6921,3158,626
41,2021-01-30,904,3121,5798,10607,9666,6566,3810,1809,391
42,2021-01-31,1045,4347,7518,12479,11917,10816,6961,3533,741
43,2021-02-01,579,3016,5016,8321,7754,5099,3393,1663,378
44,2021-02-02,438,2448,3934,6345,8851,4603,2649,1397,292
45,2021-02-03,654,3919,5179,8102,21544,6488,3464,1628,308
46,2021-02-04,1432,6210,7360,10350,22722,5575,2770,1277,239
47,2021-02-05,524,2542,4155,5514,11425,2573,1247,574,113
48,2021-02-06,341,1512,2374,5492,10042,1429,632,264,56
49,2021-02-07,1826,9222,7389,18378,23160,4730,2448,1177,226
50,2021-02-08,2584,12128,6949,19965,16467,4031,2007,923,163
51,2021-02-09,2696,12056,8318,23273,14184,3814,1941,843,187
52,2021-02-10,2341,10760,11472,27801,13139,3690,1830,822,134
53,2021-02-11,2268,10388,13577,26479,11656,3923,2097,1003,200
