first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
3/15/2020,3/21/2020,0-19,???,1028,32,0
3/15/2020,3/21/2020,0-19,?? ????,<15,0,0
3/15/2020,3/21/2020,0-19,????,838,34,0
3/15/2020,3/21/2020,20-24,???,666,99,0
3/15/2020,3/21/2020,20-24,?? ????,<15,0,0
3/15/2020,3/21/2020,20-24,????,613,35,0
3/15/2020,3/21/2020,25-29,???,574,51,0
3/15/2020,3/21/2020,25-29,????,734,49,0
3/15/2020,3/21/2020,30-34,???,618,56,0
3/15/2020,3/21/2020,30-34,????,685,33,0
3/15/2020,3/21/2020,35-39,???,541,44,0
3/15/2020,3/21/2020,35-39,?? ????,<15,0,0
3/15/2020,3/21/2020,35-39,????,541,31,0
3/15/2020,3/21/2020,40-44,???,417,35,0
3/15/2020,3/21/2020,40-44,????,456,15,0
3/15/2020,3/21/2020,45-49,???,333,34,0
3/15/2020,3/21/2020,45-49,????,401,16,0
3/15/2020,3/21/2020,50-54,???,277,31,0
3/15/2020,3/21/2020,50-54,?? ????,<15,0,0
3/15/2020,3/21/2020,50-54,????,379,22,0
3/15/2020,3/21/2020,55-59,???,203,27,0
3/15/2020,3/21/2020,55-59,????,345,23,0
3/15/2020,3/21/2020,60-64,???,223,19,0
3/15/2020,3/21/2020,60-64,????,306,22,0
3/15/2020,3/21/2020,65-69,???,271,35,0
3/15/2020,3/21/2020,65-69,????,233,15,0
3/15/2020,3/21/2020,70-74,???,200,26,0
3/15/2020,3/21/2020,70-74,????,162,16,0
3/15/2020,3/21/2020,75-79,???,113,<15,0
3/15/2020,3/21/2020,75-79,????,92,<15,0
3/15/2020,3/21/2020,80+,???,204,<15,<15
3/15/2020,3/21/2020,80+,????,242,<15,0
3/15/2020,3/21/2020,NULL,???,213,<15,0
3/15/2020,3/21/2020,NULL,?? ????,45,0,0
3/15/2020,3/21/2020,NULL,????,217,<15,0
3/22/2020,3/28/2020,0-19,???,2281,176,0
3/22/2020,3/28/2020,0-19,?? ????,21,<15,0
3/22/2020,3/28/2020,0-19,????,2058,152,0
3/22/2020,3/28/2020,20-24,???,1942,211,0
3/22/2020,3/28/2020,20-24,?? ????,38,0,0
3/22/2020,3/28/2020,20-24,????,2026,155,0
3/22/2020,3/28/2020,25-29,???,1905,167,0
3/22/2020,3/28/2020,25-29,?? ????,19,0,0
3/22/2020,3/28/2020,25-29,????,2134,119,0
3/22/2020,3/28/2020,30-34,???,1769,133,0
3/22/2020,3/28/2020,30-34,?? ????,<15,0,0
3/22/2020,3/28/2020,30-34,????,1771,116,0
3/22/2020,3/28/2020,35-39,???,1477,119,0
3/22/2020,3/28/2020,35-39,?? ????,<15,0,0
3/22/2020,3/28/2020,35-39,????,1511,81,0
3/22/2020,3/28/2020,40-44,???,1176,98,0
3/22/2020,3/28/2020,40-44,?? ????,<15,0,0
3/22/2020,3/28/2020,40-44,????,1254,73,0
3/22/2020,3/28/2020,45-49,???,1005,118,0
3/22/2020,3/28/2020,45-49,?? ????,<15,0,0
3/22/2020,3/28/2020,45-49,????,1183,86,0
3/22/2020,3/28/2020,50-54,???,751,108,0
3/22/2020,3/28/2020,50-54,?? ????,<15,0,0
3/22/2020,3/28/2020,50-54,????,1104,103,0
3/22/2020,3/28/2020,55-59,???,760,153,<15
3/22/2020,3/28/2020,55-59,?? ????,<15,<15,0
3/22/2020,3/28/2020,55-59,????,974,76,0
3/22/2020,3/28/2020,60-64,???,844,117,0
3/22/2020,3/28/2020,60-64,?? ????,<15,0,0
3/22/2020,3/28/2020,60-64,????,941,84,0
3/22/2020,3/28/2020,65-69,???,680,97,0
3/22/2020,3/28/2020,65-69,?? ????,<15,0,0
3/22/2020,3/28/2020,65-69,????,593,59,<15
3/22/2020,3/28/2020,70-74,???,461,69,<15
3/22/2020,3/28/2020,70-74,?? ????,<15,0,0
3/22/2020,3/28/2020,70-74,????,435,45,0
3/22/2020,3/28/2020,75-79,???,285,43,<15
3/22/2020,3/28/2020,75-79,?? ????,<15,0,0
3/22/2020,3/28/2020,75-79,????,230,21,<15
3/22/2020,3/28/2020,80+,???,453,38,<15
3/22/2020,3/28/2020,80+,?? ????,<15,0,0
3/22/2020,3/28/2020,80+,????,690,36,<15
3/22/2020,3/28/2020,NULL,???,485,<15,0
3/22/2020,3/28/2020,NULL,?? ????,172,<15,0
3/22/2020,3/28/2020,NULL,????,368,<15,0
3/29/2020,4/4/2020,0-19,???,3210,341,0
3/29/2020,4/4/2020,0-19,?? ????,27,0,0
3/29/2020,4/4/2020,0-19,????,2813,292,0
3/29/2020,4/4/2020,20-24,???,4260,328,0
3/29/2020,4/4/2020,20-24,?? ????,21,0,0
3/29/2020,4/4/2020,20-24,????,3919,243,0
3/29/2020,4/4/2020,25-29,???,3187,254,0
3/29/2020,4/4/2020,25-29,?? ????,<15,0,0
3/29/2020,4/4/2020,25-29,????,2843,175,0
3/29/2020,4/4/2020,30-34,???,2891,190,0
3/29/2020,4/4/2020,30-34,?? ????,<15,0,0
3/29/2020,4/4/2020,30-34,????,2589,115,0
3/29/2020,4/4/2020,35-39,???,2546,150,0
3/29/2020,4/4/2020,35-39,?? ????,<15,0,0
3/29/2020,4/4/2020,35-39,????,2167,101,0
3/29/2020,4/4/2020,40-44,???,2015,169,0
3/29/2020,4/4/2020,40-44,?? ????,<15,0,0
3/29/2020,4/4/2020,40-44,????,2034,122,0
3/29/2020,4/4/2020,45-49,???,1786,173,0
3/29/2020,4/4/2020,45-49,?? ????,<15,<15,0
3/29/2020,4/4/2020,45-49,????,1978,113,<15
